Soil Moisture,Temperature, Soil Humidity,Time,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa),ph,rainfall,N,P,K,Status
84,39,50,21,18.81,2.52,24.45,17.02,101.38,6.349606327,223.3671883,61,53,43,OFF
12,3,43,34,19.04,2.4,23.14,16.62,101.38,5.999969026,186.7536773,67,43,39,ON
17,40,57,5,19.27,2.27,21.83,16.22,101.39,5.453592032,220.1156708,67,58,39,ON
12,35,34,1,19.36,2.78,21.06,17.78,101.4,6.372576327,231.7364957,66,60,38,ON
6,40,44,92,19.45,3.29,20.29,19.35,101.41,5.105588355,242.3170629,82,43,38,OFF
21,4,48,39,19.42,3.01,20.58,15.58,101.42,5.935344406,182.6549356,84,50,44,ON
71,41,49,11,19.38,2.73,20.88,11.82,101.43,5.17782304,233.7034975,81,53,42,OFF
17,27,40,15,19.33,2.82,21.33,12.31,101.44,6.462391607,230.2242223,91,50,40,ON
67,24,31,79,19.28,2.9,21.78,12.8,101.44,7.069172227,290.6793783,93,53,38,OFF
34,24,63,84,19.24,2.98,22.22,13.3,101.44,7.473134377,241.2013513,90,44,38,OFF
68,13,57,105,19.19,3.07,22.67,13.79,101.45,6.158376967,218.9163567,81,45,35,OFF
52,3,35,0,19.26,3,22.7,14.9,101.46,7.549873681,248.2256491,78,40,38,OFF
80,18,24,59,19.32,2.92,22.74,16,101.46,6.028321558,256.9964761,60,51,36,OFF
11,11,29,7,19.6,3.24,22.42,16.63,101.46,6.604993475,194.2651719,88,46,42,ON
63,27,26,22,19.89,3.57,22.11,17.27,101.46,6.500343222,295.9248796,93,47,37,OFF
88,43,58,86,20.28,3.55,22.04,17.8,101.46,5.935745417,287.5766935,60,55,45,ON
79,21,58,71,20.68,3.53,21.97,18.32,101.47,7.072655622,183.6222657,78,35,44,OFF
2,37,30,28,21.21,3.66,21.44,18.76,101.48,5.333322606,188.413665,65,37,40,ON
49,33,61,72,21.74,3.78,20.9,19.2,101.49,5.749914421,87.75953857,71,54,16,ON
64,27,58,94,22.44,3.43,20.58,18.24,101.49,6.931756558,102.2662445,61,44,17,OFF
71,36,25,68,23.13,3.08,20.27,17.27,101.49,6.657964753,66.71995467,80,43,16,ON
51,27,66,89,23.76,3.42,19.5,18.94,101.49,6.596060648,60.65171481,73,58,21,ON
67,26,60,25,24.4,3.77,18.73,20.6,101.5,5.970458434,65.43835393,61,38,20,OFF
12,0,63,2,25.04,4.12,17.96,22.27,101.5,6.158830619,102.0861694,68,41,16,OFF
67,3,44,95,25.67,4.46,17.2,23.94,101.51,6.047906679,105.4654703,93,41,17,OFF
54,31,49,88,26.3,4.81,16.43,25.6,101.52,5.913664501,78.06639649,89,60,19,ON
49,33,31,86,26.94,5.15,15.66,27.27,101.52,5.855442401,65.27798457,76,44,17,ON
24,29,34,36,27.38,6.86,14.2,33.98,101.52,5.750254943,109.2162279,67,60,25,ON
27,18,38,21,27.83,8.57,12.75,40.68,101.52,5.852607099,94.29712821,70,44,19,ON
50,35,20,18,28.14,8.46,12.24,35.16,101.52,6.472523287,74.05474936,90,49,21,ON
51,26,32,4,28.46,8.36,11.74,29.63,101.53,6.967057762,63.87020584,62,52,16,ON
38,26,34,16,28.94,8.43,11.29,28.77,101.54,6.082973754,94.76189431,92,44,16,ON
23,45,50,106,29.42,8.5,10.84,27.91,101.55,5.919045532,72.12375573,66,54,21,OFF
27,29,60,88,29.82,8.72,10.43,36.17,101.55,6.204747653,63.72358154,63,58,22,ON
72,39,21,87,30.22,8.95,10.02,44.44,101.55,6.600827017,104.1626147,70,47,17,ON
89,19,38,18,30.54,8.94,9.84,34.1,101.55,6.021902237,76.68456006,61,41,17,OFF
36,28,55,36,30.86,8.94,9.65,23.76,101.55,6.033550195,65.49730729,66,53,19,ON
4,5,45,63,31.27,8.9,9.33,26.58,101.56,6.28886807,84.23613484,74,55,19,ON
21,37,48,32,31.69,8.86,9.01,29.4,101.56,6.550563823,79.74078719,77,57,21,ON
8,37,58,103,32.1,8.82,8.7,32.22,101.56,5.573286437,88.07753741,99,50,15,OFF
5,27,28,22,32.51,8.78,8.38,35.04,101.57,6.829199275,80.97573281,74,56,22,ON
1,10,56,67,32.93,8.74,8.06,37.86,101.58,5.716222912,79.7532896,83,45,21,ON
2,40,43,36,33.34,8.7,7.74,40.68,101.58,5.54990242,74.51490791,100,48,16,ON
63,35,30,106,33.28,10.6,7.15,39.7,101.58,6.586244581,96.46380213,79,51,16,OFF
17,39,38,18,33.23,12.51,6.56,38.71,101.59,5.893093135,102.8301942,94,39,18,ON
33,19,26,103,33.62,11.78,6.36,40.04,101.58,5.918263801,102.4852929,75,49,15,OFF
21,6,67,74,34.01,11.06,6.17,41.38,101.58,5.588650585,70.43473609,78,48,22,ON
84,29,36,41,34.36,11.19,5.97,33.88,101.58,6.576418207,108.8303762,87,54,20,ON
35,28,23,73,34.71,11.32,5.77,26.37,101.58,6.178056304,65.88951188,87,35,25,ON
81,4,35,21,35.04,11.14,5.66,36.26,101.57,6.641906353,90.988051,63,43,19,OFF
44,41,22,6,35.37,10.96,5.56,46.15,101.56,6.489040367,64.40866039,84,57,25,ON
53,6,68,73,35.04,11.99,5.48,39.97,101.56,5.680361038,63.03843397,64,35,23,ON
25,18,66,21,34.71,13.02,5.41,33.8,101.55,6.625404348,87.9298085,60,46,22,ON
22,28,38,40,35.13,12.66,5.28,33.56,101.55,6.524478032,107.4931917,98,44,21,ON
57,44,44,25,35.55,12.29,5.14,33.33,101.55,5.696205468,60.95197486,75,56,18,ON
15,25,67,57,35.55,12.45,5.13,33.11,101.54,6.803931519,109.7515385,86,55,21,ON
33,23,25,93,35.55,12.61,5.12,32.88,101.54,6.252797548,91.76337172,98,35,18,OFF
20,25,54,28,36,11.92,4.88,47.21,101.54,6.092725883,94.26249353,76,57,18,OFF
52,13,62,105,36.46,11.23,4.64,61.54,101.54,6.234330356,71.07562236,99,56,17,OFF
47,2,56,80,36.39,11.58,4.66,46.56,101.54,5.722579819,76.72860067,60,44,23,OFF
63,40,63,25,36.33,11.92,4.69,31.58,101.53,6.430616465,69.21803098,74,48,17,OFF
48,11,21,69,36.33,12.36,4.48,32.92,101.52,5.983952675,101.7004306,89,60,17,OFF
15,34,31,57,36.32,12.81,4.28,34.25,101.51,6.80163854,106.6213157,69,51,23,ON
87,37,37,52,36.32,13.26,4.07,35.58,101.5,6.499936446,66.29390357,96,46,22,ON
30,27,70,28,36.31,13.7,3.86,36.92,101.49,6.265564338,91.26056654,61,60,15,ON
89,31,69,3,36.53,13.06,3.92,31.36,101.48,6.727303282,109.024141,74,58,18,OFF
28,1,42,71,36.76,12.43,3.97,25.81,101.47,6.325235159,99.57981207,74,43,23,OFF
87,1,52,32,37.06,11.76,3.88,42.18,101.46,6.807487794,71.3195307,63,43,17,OFF
41,23,67,5,37.36,11.09,3.8,58.54,101.46,6.671085817,78.34604471,99,36,20,ON
58,42,68,21,37.69,10.94,3.72,63.55,101.45,6.648725327,88.45361858,77,36,23,ON
73,10,23,21,38.02,10.8,3.65,68.57,101.44,6.439071996,62.50351892,87,60,23,OFF
84,2,57,62,37.6,11.67,3.51,52.46,101.43,6.474476516,76.41312437,60,38,17,OFF
90,19,64,55,37.17,12.54,3.38,36.36,101.42,5.871647806,107.3198135,94,54,17,ON
90,44,44,30,36.66,12.84,3.75,33.37,101.41,5.730617109,100.7689246,95,38,22,OFF
29,35,34,76,36.15,13.15,4.12,30.38,101.4,5.850439831,107.2681929,84,44,21,ON
65,5,35,13,35.44,13.8,4.32,36.62,101.38,5.791649933,101.5952794,77,58,19,OFF
70,0,37,3,34.72,14.45,4.53,42.86,101.37,6.740000688,80.72515943,66,44,20,OFF
70,32,51,62,34.78,13.8,4.85,39.08,101.36,6.272417541,83.73280082,63,35,16,ON
6,8,59,109,34.85,13.14,5.17,35.29,101.35,5.715208817,89.9622014,79,45,20,OFF
86,1,50,92,34.93,13.9,4.87,42.14,101.34,5.773454729,88.10234397,72,60,25,OFF
90,17,22,11,35.01,14.65,4.57,48.98,101.34,5.584171461,64.77791424,67,51,24,OFF
22,32,67,34,35.45,13.24,4.49,46.71,101.33,5.787268394,73.33636055,86,36,24,ON
7,24,35,56,35.89,11.84,4.4,44.44,101.32,5.77597783,83.21030571,76,48,18,ON
73,32,48,106,36.3,11.87,3.99,37.6,101.32,6.864793607,103.651438,75,53,18,OFF
78,23,29,106,36.71,11.9,3.57,30.77,101.31,6.192360003,84.22969177,81,45,23,OFF
26,26,22,54,36.77,12.14,3.71,28.57,101.3,6.636803223,96.59195302,73,45,21,ON
2,28,70,106,36.83,12.38,3.85,26.37,101.3,5.826426917,67.96704792,71,35,24,OFF
48,5,34,44,36.7,11.98,3.97,33.88,101.28,6.960358276,83.20711308,96,54,22,ON
31,45,67,79,36.56,11.59,4.09,41.38,101.27,6.11275104,87.85092352,99,39,18,ON
4,7,56,78,36.36,11.83,4.35,35.88,101.26,6.708446922,95.71388473,62,48,20,ON
71,22,64,21,36.15,12.07,4.61,30.38,101.25,5.561510732,67.61013737,86,37,16,OFF
74,6,47,73,36.2,11.44,4.62,29.65,101.24,5.873242491,97.59081274,94,50,19,OFF
58,20,31,67,36.25,10.8,4.63,28.92,101.23,6.995843776,64.23845455,76,39,24,OFF
76,3,70,78,36.12,11.14,4.7,31.86,101.22,5.714799723,75.82270467,77,52,17,OFF
78,36,44,99,36,11.48,4.77,34.8,101.21,6.78073637,88.17251033,74,39,23,OFF
5,14,41,88,35.88,11.83,4.84,37.74,101.2,5.513697923,104.2321615,81,49,20,ON
8,32,38,110,35.75,12.17,4.91,40.68,101.19,5.798423908,67.10225139,63,42,21,OFF
31,6,40,94,35.59,12.04,4.59,38.52,101.18,6.352471866,67.72777298,99,38,21,OFF
30,34,53,78,35.43,11.9,4.27,36.36,101.18,6.822586546,103.2234212,90,52,25,ON
58,25,37,27,35.48,11.88,4.22,35.83,101.17,6.655426355,107.2361366,68,40,19,ON
28,9,66,19,35.52,11.85,4.17,35.29,101.16,6.121294041,75.03247667,60,57,24,ON
19,16,32,22,35.52,12.25,4.06,46.22,101.15,5.790770203,78.16077693,71,52,18,OFF
26,15,45,84,35.52,12.65,3.96,57.14,101.14,6.47444292,105.0083144,61,59,17,ON
51,37,65,10,35.42,12.48,3.88,57.14,101.14,6.455116637,62.49190812,88,38,15,ON
4,45,67,110,35.33,12.31,3.8,57.14,101.13,6.606984086,107.9124111,65,60,22,OFF
80,25,63,19,35.24,12.76,3.98,63.86,101.12,6.330554389,74.52082026,78,37,22,OFF
68,24,45,17,35.15,13.2,4.17,70.59,101.11,6.528631266,62.91359494,78,58,15,OFF
8,9,41,16,35.34,12.52,4.12,50.88,101.1,5.721667141,69.93293255,92,60,23,OFF
53,35,21,75,35.52,11.83,4.06,31.17,101.1,6.644205485,108.5054416,79,59,17,ON
79,32,66,19,35.53,12.03,3.96,43.49,101.1,6.376651091,78.96159541,91,55,15,OFF
68,5,63,10,35.55,12.23,3.87,55.81,101.09,6.247040422,79.84925393,76,51,18,OFF
76,37,59,32,35.4,12.08,3.7,47.26,101.08,6.656730008,93.62039175,87,48,25,OFF
34,18,38,49,35.25,11.93,3.53,38.71,101.08,6.2048017,85.75692395,71,60,22,ON
28,0,66,10,35.35,11.2,3.34,41.38,101.06,6.158860284,82.34162918,90,57,24,OFF
62,36,25,4,35.24,11.96,2.96,36.08,101.06,6.385684214,108.7603001,67,35,22,ON
88,27,54,63,35.13,12.72,2.58,30.77,101.05,6.417820493,70.23401597,60,54,19,ON
1,23,39,66,35.03,12.44,2.74,30.77,101.05,6.381201909,65.50861389,83,58,23,ON
